Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_366:0000021,PShelling_Cp_pct,,Trial evaluation,Post-Harvest,,,IBP,Julian Pietragalla,,EN,Bambara groundnut,CO_366:0000019,Pod shelling,Agronomical trait,The pod shelling.,,PShelling,,Pod,shelling,,,CO_366:0000020,Pod shelling - Computation,Computation,"Compute the pod shelling. Recorded within two months after harvest, average percentage of 10 pods, based on weight of mature seed (at 12% moisture content).",,,CO_366:0000009,%,Numerical,,0,50,,,,,,,,,,,
,CO_366:0000024,SdFat_M_pct,,Trial evaluation,Post-Harvest,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut,CO_366:0000022,Seed fat content,Quality trait,The content of fat in seeds.,,SdFat,,Seed,fat content,,,CO_366:0000023,Seed fat content - Measurement,Measurement,Standard chemical method for seed fat content method.,,,CO_366:0000009,%,Numerical,,0,50,,,,,,,,,,,
,CO_366:0000027,SdProt_M_pct,,Trial evaluation,Post-Harvest,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut,CO_366:0000025,Seed protein content,Quality trait,The content of protein in seeds.,,SdProt,,Seed,protein content,,,CO_366:0000026,Seed protein content - Measurement,Measurement,Standard chemical method for seed protein content method.,,,CO_366:0000009,%,Numerical,,0,50,,,,,,,,,,,
,CO_366:0000031,StmHair_E_0to9,,Nursery evaluation,Harvest,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut,CO_366:0000028,Stem hairiness,Morphological trait,The stem hairiness.,,StmHair,,Stem,hairiness,,,CO_366:0000029,Stem hairiness - Estimation,Estimation,Observe stem hairiness and rate it. Usually observed at harvest time.,,,CO_366:0000030,0-9 Density scale,Ordinal,,,,,0= absent,1= slightly,2= slightly to sparse,3= sparse,4= sparse to moderately,5= moderately,6= moderately to dense,7= dense,8= highly dense,9= extremely dense
,CO_366:0000035,NoduCap_E_0to9,,"Nursery evaluation, Trial evaluation",,,,"IBP, IPGRI","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut,CO_366:0000032,Nodulation capacity,Physiological trait,The nodulation capacity of the plant.,,NoduCap,,Plant,nodulation capacity,,,CO_366:0000033,Nodulation capacity - Estimation,Estimation,"Observe nodulation capacity and rate it. Usually recorded 10 weeks after planting, average capacity of five healthy plants.",,,CO_366:0000034,0-9 Nodulation capacity scale,Ordinal,,,,,0= none,1= very few nodules,2= very few to few nodules,3= few nodules,4= few to moderate nodules,5= moderate nodules,6= moderate to abundant nodules,7= abundant nodules,8= abundant to extremely abundant nodules,9= extremely abundant nodules
,CO_366:0000039,GH_E_1to3,,Trial evaluation,,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut,CO_366:0000036,Growth habit,Morphological trait,A qualitative description of the growth habit of the plant.,,GH,,Plant,growth habit,,,CO_366:0000037,Growth habit - Estimation,Estimation,"Growth habit assessment. Usually recorded 10 weeks after planting, based on the 4th petiole (P)/4th internode (I) length ratio (P/I).",,,CO_366:0000038,1-3 Growth habit scale,Nominal,,,,,1= Bunch type (P/I = >9),2= Semibunch type (P/I = 7 - 9),3= Spreading type (open) (P/I = <7),,,,,,,
,CO_366:0000043,SdSh_E_1to3,,"Nursery evaluation, Trial evaluation",Post-Harvest,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut,CO_366:0000040,Seed shape,Morphological trait,The shape of seed.,,SdSh,,Seed,shape,,,CO_366:0000041,Seed shape - Estimation,Estimation,"Observe seed shape and rate it. Recorded on the basis of seeds from one-seeded pod, within two months after harvest.",,,CO_366:0000042,1-3 Seed shape scale,Nominal,,,,,1= Round,2= Oval,99= Other (specify in descriptor Notes),,,,,,,
,CO_366:0000047,TLfltCol_E_1to4,,Nursery evaluation,,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut,CO_366:0000044,Terminal leaflet colour,Morphological trait,The colour of the terminal leaflet.,,TLfltCol,,Terminal leaflet,colour,,,CO_366:0000045,Terminal leaflet colour - Estimation,Estimation,Observe terminal leaflet colour and rate it. Usually observed on fully expanded terminal leaflet.,,,CO_366:0000046,1-4 Leaflet colour scale,Nominal,,,,,1= Green,2= Red,3= Purple,99= Other (specify in descriptor Notes),,,,,,
,CO_366:0000051,Ptext_E_1to4,,"Nursery evaluation, Trial evaluation",Post-Harvest,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut,CO_366:0000048,Pod texture,Morphological trait,The texture of pod.,,Ptext,,Pod,texture,,,CO_366:0000049,Pod texture - Estimation,Estimation,Observe texture and rate it. Recorded within two months after harvest.,,,CO_366:0000050,1-4 Pod texture scale,Nominal,,,,,1= Smooth,2= Little grooves,3= Much grooved,4= Much folded,,,,,,
,CO_366:0000055,TLfltSh_E_1to5,,Nursery evaluation,,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut,CO_366:0000052,Terminal leaflet shape,Morphological trait,The shape of terminal leaflet.,,TLfltSh,,Terminal leaflet,shape,,,CO_366:0000053,Terminal leaflet shape - Estimation,Estimation,Observe the shape of the terminal leaflet and rate it.,,,CO_366:0000054,1-5 Leaflet shape scale,Nominal,,,,,1= Round,2= Oval,3= Lanceolate,4= Elliptic,99= Other (specify in descriptor Notes),,,,,
